ISO3,date,price
GBR,2023-11-07,101.62
DEU,2023-11-08,90.13
GBR,2023-11-08,102.56
DEU,2023-11-09,98.16
GBR,2023-11-09,110.93
DEU,2023-11-10,96.44
GBR,2023-11-10,111.66
DEU,2023-11-11,97.2
GBR,2023-11-11,107.09
DEU,2023-11-12,99.55
GBR,2023-11-12,109.56
DEU,2023-11-13,95.55
GBR,2023-11-13,94.96
DEU,2023-11-14,67.08
GBR,2023-11-14,95.38
DEU,2023-11-15,101.88
GBR,2023-11-15,98.0
DEU,2023-11-16,118.14
GBR,2023-11-16,132.12
DEU,2023-11-17,120.33
GBR,2023-11-17,127.2
DEU,2023-11-18,88.64
GBR,2023-11-18,95.32
DEU,2023-11-19,35.51
GBR,2023-11-19,75.17
DEU,2023-11-20,103.26
GBR,2023-11-20,108.9
DEU,2023-11-21,123.31
GBR,2023-11-21,119.89
DEU,2023-11-22,110.1
GBR,2023-11-22,109.0
DEU,2023-11-23,60.9
GBR,2023-11-23,86.7
DEU,2023-11-24,64.24
GBR,2023-11-24,97.73
DEU,2023-11-25,96.17
GBR,2023-11-25,123.15
DEU,2023-11-26,115.67
GBR,2023-11-26,126.8
DEU,2023-11-27,121.1
GBR,2023-11-27,123.59
DEU,2023-11-28,121.47
GBR,2023-11-28,129.65
DEU,2023-11-29,138.08
GBR,2023-11-29,143.3
DEU,2023-11-30,168.04
GBR,2023-11-30,163.26
DEU,2023-12-01,159.45
GBR,2023-12-01,164.68
DEU,2023-12-02,119.82
GBR,2023-12-02,129.35
DEU,2023-12-03,104.96
GBR,2023-12-03,116.51
DEU,2023-12-04,120.63
GBR,2023-12-04,117.39
DEU,2023-12-05,115.15
GBR,2023-12-05,118.7
DEU,2023-12-06,133.46
GBR,2023-12-06,130.08
DEU,2023-12-07,117.08
GBR,2023-12-07,101.73
DEU,2023-12-08,104.02
GBR,2023-12-08,103.44
DEU,2023-12-09,73.37
GBR,2023-12-09,90.27
DEU,2023-12-10,54.13
GBR,2023-12-10,78.56
DEU,2023-12-11,87.33
GBR,2023-12-11,99.63
DEU,2023-12-12,105.73
GBR,2023-12-12,98.2
DEU,2023-12-13,93.65
GBR,2023-12-13,95.07
DEU,2023-12-14,108.02
GBR,2023-12-14,96.91
DEU,2023-12-15,92.45
GBR,2023-12-15,90.22
DEU,2023-12-16,70.37
